b'A4 Tech Wireless Desktop Keyboard (9300F)',"b'Tk. 1,850'",b'Brand: A4Tech\nCategory: Keyboard'
,,
b'Delux Optical Mouse- DLM-363BU',b'Tk. 300',b'Brand: Delux\nCategory: Mouse'
,,
b'Wireless Mouse M10 (White)',b'Tk. 600',b'Brand: Rapoo\nCategory: Mouse'
,,
b'A4 Tech Bloody 4000cpi gaming Mouse A91',"b'Tk. 1,650'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4 Tech LITHIUM BATTER WIRELESS MOUSE (G11-570 HX)',"b'Tk. 1,375'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'LOGITECH G300S GAMING MOUSE',"b'Tk. 2,492'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech M221 Silent  Wireless Mouse',"b'Tk. 1,100'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Wireless Combo 8000',"b'Tk. 1,440'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Wireless Combo 8200P',"b'Tk. 2,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'A4 Tech WIRELESS MOUSE (G3-630N)',"b'Tk. 1,000'",b'Brand: A4Tech\nCategory: Mouse'
,,
b'LOGITECH G102 PRODIGY GAMING MOUSE',"b'Tk. 2,220'",b'Brand: Logitech\nCategory: Mouse'
,,
b'LOGITECH G403 PRODIGY GAMING MOUSE',"b'Tk. 6,100'",b'Brand: Logitech\nCategory: Gaming Mouse'
,,
b'LOGITECH G90 GAMING MOUSE',"b'Tk. 1,520'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech Wireless Mouse M170',b'Tk. 900',b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech  M720 Bluetooth Mouse',"b'Tk. 5,180'",b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech Mouse M105',b'Tk. 550',b'Brand: Logitech\nCategory: Mouse'
,,
b'LOGITECH RACING G29 GAMING WHEEL',"b'Tk. 33,200'",b'Brand: Logitech\nCategory: Gaming Mouse'
,,
b'Logitech M235 Wireless Mouse',"b'Tk. 1,150'",b'Brand: Logitech\nCategory: Mouse'
,,
b'LOGITECH G502 PROTEUS SPECTRUM GAMING MOUSE',"b'Tk. 7,400'",b'Brand: Logitech\nCategory: Gaming Mouse'
,,
b'Logitech Mouse M90 Grey',b'Tk. 400',b'Brand: Logitech\nCategory: Mouse'
,,
b'Logitech M337 Bluetooth Mouse',"b'Tk. 2,300'",b'Brand: Logitech\nCategory: Mouse'
,,
b'A4Tech FM10 Fstyler Wired Optical Mouse Black Blue',b'Tk. 450',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FM10 Fstyler Wired Optical Mouse Black Orange',b'Tk. 450',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG10 2.4GHz Fstyler Wireless Mouse Grey',b'Tk. 690',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG10 2.4GHz Fstyler Wireless Mouse Black Orange',b'Tk. 690',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG10 Fstyler 2.4GHz Wireless Mouse Black Blue',b'Tk. 690',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG30 2.4G Wireless Mouse Grey',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG30 2.4G Wireless Mouse Blue',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG30 2.4G Wireless Mouse Orange',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FB35 Wireless Multimode Mouse',b'Tk. 990',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG35 2.4G Wireless Mouse Bronze',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG35 2.4G Wireless Mouse Silver',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech FG35 2.4G Wireless Mouse Grey',b'Tk. 875',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech OP-730D 2X Click Optical Wired Mouse',b'Tk. 375',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech OP-550NU Wired Mouse',b'Tk. 375',b'Brand: A4Tech\nCategory: Mouse'
,,
b'Tech G3-300N Optical Wireless Mouse (Black Orange)',b'Tk. 625',b'Brand: A4Tech\nCategory: Mouse'
,,
b'A4Tech G3-400N 2.4G Hz Wireless Mouse',b'Tk. 625',b'Brand: A4Tech\nCategory: Mouse'
,,
b'Value-Top VT-310W Metalic Scroll Wireless Optical Mouse with Battery (Black Red) - VT-310W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-300W Metalic Scroll Wireless Optical Mouse with Battery (Black Coffee) - VT-300W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-310W Metalic Scroll Wireless Optical Mouse with Battery (Black Gray) - VT-310W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-300W Metalic Scroll Wireless Optical Mouse with Battery (Red Black) - VT-300W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-300W Metalic Scroll Wireless Optical Mouse with Battery (Blue Black) - VT-300W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-300W Metalic Scroll Wireless Optical Mouse with Battery (Dark Black) - VT-300W',b'Tk. 550',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-185W Wireless Optical Mouse (Dark Red) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-185W Wireless Optical Mouse (Dark Gray) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-185W Wireless Optical Mouse (Dark Black) - VT-185W',b'Tk. 525',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (White) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (Gray) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-250W Wireless Optical Mouse with Battary (Black) - VT-250W',b'Tk. 475',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-95U USB Optical Mouse (Gray) - VT-95U',b'Tk. 290',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Value-Top VT-100U USB Optical Mouse (Black) - VT-100U',b'Tk. 250',b'Brand: Value-Top\nCategory: Mouse'
,,
b'Wirless Mouse (GF- M701W) - GF- M701W (Gray)',b'Tk. 550',b'Brand: Golden Field\nCategory: Mouse'
,,
