b'BCS Master Plan (BCS Planner Notebook)',b'Tk.135'
,
b'Dettol Disinfectant Spray Sanitizer - Spring Blossom Fragrance - 225 ml',b'Tk.315'
,
b'Fabrilife Premium 5 Layer  Hazel Kids Designer Edition Cotton Mask',b'Tk.220'
,
b'ACI Angelic Air Freshener - Anti Tabac 300ml',b'Tk.215'
,
b'Savlon Hand Wash Alovera 5 Litre  (Bottle)',b'Tk.990'
,
"b'\xe0\xa6\x95\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa4\xe0\xa6\xbe \xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x87 \xe0\xa6\x96\xe0\xa6\xbe\xe0\xa7\x9f, \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f-\xe0\xa6\xb8\xe0\xa7\x81\xe0\xa6\xa6\xe0\xa7\x8d\xe0\xa6\xa7\xe0\xa6\xbe \xe0\xa6\x96\xe0\xa6\xbe\xe0\xa7\x9f (\xe0\xa6\xae\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa6\x9c\xe0\xa7\x81\xe0\xa6\x95 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa6\xbf-\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\x9f) - Black - L'",b'Tk.400'
,
b'Dettol Famliy Pack Bathing Bar Soap -75gm - Combo (3 Pcs)',b'Tk.114'
,
b'Dettol Antiseptic Disinfectant Liquid 5L',"b'Tk.1,380'"
,
b'ACI Angelic Air Freshener - Green Valley 300ml',b'Tk.215'
,
b'Savlon Hand Wash Ocen Blue 250ml (Bottle)',b'Tk.90'
,
b'ACI Savlon Antiseptic Liquid Bottle 5 Litre',b'Tk.710'
,
b'Dettol Handwash Aloe Vera Refill - 170ml - Combo (2 Pcs)',b'Tk.115'
,
b'Fabrilife Premium 7 Layer Festiva Womens Designer Edition Mask',b'Tk.290'
,
b'Stay Safe Surgical Mask (5 Pcs Poly) - Blue',b'Tk.45'
,
b'Stay Safe Surgical Mask (10 Pcs Poly) - Blue',b'Tk.79'
,
b'Fabrilife Premium 7 Layer Aspen Womens Designer Edition Mask',b'Tk.290'
,
"b'Buy Fresh Kids Khata (124 Page) Combo Package 4 Pcs (Bangla, English, Math plain and Margin) Get 4 Pcs Campus Pencil Free - Any Design'",b'Tk.100'
,
b'WY Artist Brush - 12 brushes',b'Tk.160'
,
"b""Qytoys Speed Rubik's Cube (3x3x3)-1 pcs""",b'Tk.150'
,
b'Travel Air Neck Pillow with eye Musk and Ear holes closer (Any Color) - 1 Pcs',b'Tk.150'
,
b'Travel Air Pillow (Balis Type - Any Color)',b'Tk.200'
,
b'Fabrilife Premium 5 Layer Spider Kids Designer Edition Cotton Mask',b'Tk.220'
,
"b""Yuxin Magic Rubik's Cube (3x3x3)-1 pcs""",b'Tk.100'
,
"b'Atlas Junior Combo Package -2 (Focus Pencil-12 Pcs, Half Color Pencil-12, Glue Pen-1 Pcs, Sharpener-1 Pcs, Eraser-1 Pcs)'",b'Tk.160'
,
"b'Atlas Junior Combo Package -1 (Smart Pencil-12 Pcs, Color Pencil-12, Glue Pen-1 Pcs, Sharpener-1 Pcs, Eraser-1 Pcs)'",b'Tk.295'
,
b'Derma Plus Handwash Rose - 250 ml',b'Tk.130'
,
b'Sepnil Instant Hand Sanitizer - 200 ml',b'Tk.185'
,
b'Fevicryl Acrylic Colours (DARK ULTRAMARINE) - 200 ml',b'Tk.200'
,
b'Fevicryl Fabric Glue - 30 ml (Cone Pack)',b'Tk.25'
,
b'Fevicryl Glass Colour Kit (water Based) - 115 ml',b'Tk.200'
,
b'Acron Students\xe2\x80\x99 Poster Colours Lilliput Kit -60 ml (10ml bottles of 6 shades)',b'Tk.125'
,
