b'BCS Master Plan (BCS Planner Notebook)',b'Tk.135',b'\xe0\xa6\xae\xe0\xa7\x8b\xe0\xa6\x83 \xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb9\xe0\xa6\xbf\xe0\xa6\xa6 \xe0\xa6\xb9\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xa8'
b'Dettol Disinfectant Spray Sanitizer - Spring Blossom Fragrance - 225 ml',b'Tk.315',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Fabrilife Premium 5 Layer  Hazel Kids Designer Edition Cotton Mask',b'Tk.220',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'ACI Angelic Air Freshener - Anti Tabac 300ml',b'Tk.215',b'\xe0\xa6\x8f\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\x86\xe0\xa6\x87 \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xa1'
b'Savlon Hand Wash Alovera 5 Litre  (Bottle)',b'Tk.990',b'\xe0\xa6\x8f\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\x86\xe0\xa6\x87 \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xa1'
"b'\xe0\xa6\x95\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa4\xe0\xa6\xbe \xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x87 \xe0\xa6\x96\xe0\xa6\xbe\xe0\xa7\x9f, \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f-\xe0\xa6\xb8\xe0\xa7\x81\xe0\xa6\xa6\xe0\xa7\x8d\xe0\xa6\xa7\xe0\xa6\xbe \xe0\xa6\x96\xe0\xa6\xbe\xe0\xa7\x9f (\xe0\xa6\xae\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa6\x9c\xe0\xa7\x81\xe0\xa6\x95 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa6\xbf-\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\x9f) - Black - L'",b'Tk.400',b'\xe0\xa6\x97\xe0\xa7\x8b\xe0\xa6\xb2\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe'
b'Dettol Famliy Pack Bathing Bar Soap -75gm - Combo (3 Pcs)',b'Tk.114',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Dettol Antiseptic Disinfectant Liquid 5L',"b'Tk.1,380'",b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'ACI Angelic Air Freshener - Green Valley 300ml',b'Tk.215',b'\xe0\xa6\x8f\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\x86\xe0\xa6\x87 \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xa1'
b'Savlon Hand Wash Ocen Blue 250ml (Bottle)',b'Tk.90',b'\xe0\xa6\x8f\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\x86\xe0\xa6\x87 \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xa1'
b'ACI Savlon Antiseptic Liquid Bottle 5 Litre',b'Tk.710',b'\xe0\xa6\x8f\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\x86\xe0\xa6\x87 \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xa1'
b'Dettol Handwash Aloe Vera Refill - 170ml - Combo (2 Pcs)',b'Tk.115',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xac\xe0\xa7\x87\xe0\xa6\xa8\xe0\xa6\x95\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x81\xe0\xa6\xaa'
b'Fabrilife Premium 7 Layer Festiva Womens Designer Edition Mask',b'Tk.290',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Stay Safe Surgical Mask (5 Pcs Poly) - Blue',b'Tk.45',b'\xe0\xa6\x8f\xe0\xa6\xab\xe0\xa6\x8f\xe0\xa6\xae \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8'
b'Stay Safe Surgical Mask (10 Pcs Poly) - Blue',b'Tk.79',b'\xe0\xa6\x8f\xe0\xa6\xab\xe0\xa6\x8f\xe0\xa6\xae \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8'
b'Fabrilife Premium 7 Layer Aspen Womens Designer Edition Mask',b'Tk.290',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
"b'Buy Fresh Kids Khata (124 Page) Combo Package 4 Pcs (Bangla, English, Math plain and Margin) Get 4 Pcs Campus Pencil Free - Any Design'",b'Tk.100',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
